id,dialog_name,tab_name,group_box,control_name,control_type,breadcrumb_path,launch_command,automation_id,registry_key,synonyms,description,source,windows_versions_confirmed,last_verified
advanced.file-explorer.show-hidden-system-files,Advanced,File Explorer,File Explorer,Show hidden and system files,Toggle,System > Advanced > File Explorer > File Explorer > Show hidden and system files,control.exe folders,,,hidden files|system files visible|show protected files,Shows or hides hidden and system files in File Explorer.,Vision,,2026-06-22
advanced.file-explorer.show-full-path-title-bar,Advanced,File Explorer,File Explorer,Show full path in title bar,Toggle,System > Advanced > File Explorer > File Explorer > Show full path in title bar,control.exe folders,,,full path title|window title path|address in title,Displays the full folder path in the File Explorer title bar.,Vision,,2026-06-22
advanced.file-explorer.run-as-different-user-start,Advanced,File Explorer,File Explorer,Show option to run as different user in Start,Toggle,System > Advanced > File Explorer > File Explorer > Show option to run as different user in Start,control.exe folders,,,run as user|start menu run as|different user start,Shows the option to run applications as a different user from the Start menu.,Vision,,2026-06-22
advanced.file-explorer.show-empty-drives,Advanced,File Explorer,File Explorer,Show empty drives,Toggle,System > Advanced > File Explorer > File Explorer > Show empty drives,control.exe folders,,,empty drive letters|show all drives|hide empty drives,Shows or hides empty drives in File Explorer.,Vision,,2026-06-22
advanced.file-explorer.choose-repository-folder,Advanced,File Explorer,File Explorer + version control,Choose repository folder,Button,System > Advanced > File Explorer > File Explorer + version control > Choose repository folder,ms-settings:developers,,,repo folder|git repository|version control folder,Selects the folder used for version control integration in File Explorer.,Vision,,2026-06-22
advanced.for-developers.developer-mode,Advanced,,For developers,Developer Mode,Toggle,System > Advanced > For developers > Developer Mode,ms-settings:developers,,,dev mode|sideload apps|install unsigned apps,"Allows installation of apps from any source, including loose files.",Vision,,2026-06-22
advanced.for-developers.device-portal,Advanced,,For developers,Device Portal,Toggle,System > Advanced > For developers > Device Portal,ms-settings:developers,,,remote diagnostics|device diagnostic portal|lan diagnostics,Turns on remote diagnostics over local area network connections.,Vision,,2026-06-22
advanced.for-developers.device-portal-loopback,Advanced,,For developers,Restrict to loopback connections only,Toggle,System > Advanced > For developers > Device Portal > Restrict to loopback connections only,ms-settings:developers,,,localhost only|127.0.0.1|loopback restriction,Restricts Device Portal connections to loopback (local machine) only.,Vision,,2026-06-22
advanced.for-developers.device-portal-authentication,Advanced,,For developers,Authentication,Toggle,System > Advanced > For developers > Device Portal > Authentication,ms-settings:developers,,,device portal login|password protect portal|secure portal,Enables or disables authentication for Device Portal access.,Vision,,2026-06-22
advanced.for-developers.device-discovery,Advanced,,For developers,Device discovery,Toggle,System > Advanced > For developers > Device discovery,ms-settings:developers,,,discover device|usb discovery|network discovery,Makes your device visible to USB connections and your local network.,Vision,,2026-06-22
advanced.dev-drive.create-dev-drive,Advanced,,Dev Drive,Create a Dev Drive,Hyperlink,System > Advanced > Dev Drive > Create a Dev Drive,ms-settings:systemcomponents,,,developer drive|dev volume|optimized drive,Creates a new drive optimized for performance in developer scenarios.,Vision,,2026-06-22
advanced.taskbar.end-task,Advanced,,Taskbar,End Task,Toggle,System > Advanced > Taskbar > End Task,ms-settings:developers,,,kill task|close app taskbar|right click end task,Enables ending tasks in the taskbar by right-clicking on an app.,Vision,,2026-06-22
advanced.taskbar.run-dialog,Advanced,,Taskbar,Run dialog,Toggle,System > Advanced > Taskbar > Run dialog,ms-settings:taskbar,,,modern run dialog|win+r dialog|run command,Uses the modern Run dialog when pressing Win+R.,Vision,,2026-06-22
advanced.file-explorer.navigate,Advanced,,File Explorer,File Explorer,Hyperlink,System > Advanced > File Explorer > File Explorer,control.exe folders,,,file explorer settings|explorer options|folder options,Opens additional settings for a more developer-friendly File Explorer experience.,Vision,,2026-06-22
advanced.file-explorer.enable-long-paths,Advanced,,File Explorer,Enable long paths,Toggle,System > Advanced > File Explorer > Enable long paths,ms-settings:developers,,,max path|long file names|path limit removal,Removes MAX_PATH limitations from common Win32 file and directory functions.,Vision,,2026-06-22
advanced.virtual-workspace.remote-desktop,Advanced,,Virtual Workspace,Remote Desktop,Hyperlink,System > Advanced > Virtual Workspace > Remote Desktop,ms-settings:remotedesktop,,,rdp|remote access|remote pc,Enables Remote Desktop and ensures machine availability.,Vision,,2026-06-22
advanced.virtual-workspace.virtual-workspaces-nav,Advanced,,Virtual Workspace,Virtual Workspaces,Hyperlink,System > Advanced > Virtual Workspace > Virtual Workspaces,ms-settings:developers,,,virtual machines settings|vm settings|workspace settings,Adjusts settings for virtual workspaces.,Vision,,2026-06-22
advanced.terminal.default-terminal,Advanced,,Terminal,Terminal,ComboBox,System > Advanced > Terminal > Terminal,ms-settings:developers,,,default terminal|command line host|terminal app,Chooses the default terminal app to host command-line applications.,Vision,,2026-06-22
advanced.terminal.powershell-execution-policy,Advanced,,Terminal,Change execution policy to allow local PowerShell scripts to run without signing. Require signing for remote scripts.,Toggle,System > Advanced > Terminal > PowerShell > Change execution policy to allow local PowerShell scripts to run without signing. Require signing for remote scripts.,ms-settings:developers,,,powershell execution policy|script signing|remote signed,Allows local PowerShell scripts to run without signing while requiring signing for remote scripts.,Vision,,2026-06-22
advanced.terminal.enable-sudo,Advanced,,Terminal,Enable sudo,Toggle,System > Advanced > Terminal > Enable sudo,ms-settings:developers,,,sudo command|elevate privileges|run as admin,Enables the sudo command for elevated command execution.,Vision,,2026-06-22
advanced.terminal.sudo-configuration,Advanced,,Terminal,Configure how sudo runs applications,ComboBox,System > Advanced > Terminal > Enable sudo > Configure how sudo runs applications,ms-settings:developers,,,sudo behavior|sudo window|sudo inline,"Configures how sudo runs applications, such as in a new window or inline.",Vision,,2026-06-22
system.activation.activation-state,Activation,,,Activation state,Toggle,System > Activation > Activation state,ms-settings:activation,,,windows activated|license status|digital license|product activation,Shows whether Windows is activated and the type of license used.,Vision,,2026-06-22
system.activation.upgrade-edition,Activation,,,Upgrade your edition of Windows,Hyperlink,System > Activation > Upgrade your edition of Windows,ms-settings:activation,,,upgrade windows|windows pro upgrade|edition upgrade,Provides options to upgrade to a higher edition of Windows for additional features.,Vision,,2026-06-22
system.activation.change-product-key,Activation,,Upgrade your edition of Windows,Change product key,Button,System > Activation > Upgrade your edition of Windows > Change product key,ms-settings:activation,,,enter product key|windows key|license key|activate with key,Allows changing the Windows product key to activate or upgrade the edition.,Vision,,2026-06-22
system.activation.upgrade-microsoft-app,Activation,,Upgrade your edition of Windows,Upgrade in the Microsoft app,Button,System > Activation > Upgrade your edition of Windows > Upgrade in the Microsoft app,ms-settings:activation,,,microsoft store upgrade|store upgrade|buy windows upgrade,Opens the Microsoft Store to purchase and upgrade the Windows edition.,Vision,,2026-06-22
system.activation.help-with-activation,Activation,,Related support,Help with Activation,Hyperlink,System > Activation > Related support > Help with Activation,ms-settings:activation,,,activation help|windows activation support|activation troubleshooting,Provides support links and resources for Windows activation issues.,Vision,,2026-06-22
system.troubleshoot.recommended-troubleshooter-preferences,Troubleshoot,,Options,Recommended troubleshooter preferences,ComboBox,System > Troubleshoot > Options > Recommended troubleshooter preferences,ms-settings:troubleshoot,,,auto troubleshoot|automatic fix|troubleshooter behavior|ask before running,Controls whether Microsoft can recommend and automatically run troubleshooters to fix issues.,Vision,,2026-06-22
system.troubleshoot.recommended-troubleshooter-history,Troubleshoot,,Options,Recommended troubleshooter history,Hyperlink,System > Troubleshoot > Options > Recommended troubleshooter history,ms-settings:troubleshoot,,,troubleshooter log|past troubleshooters|history of fixes,View the history of recommended troubleshooters that have been run on the device.,Vision,,2026-06-22
system.troubleshoot.other-troubleshooters,Troubleshoot,,Options,Other troubleshooters,Hyperlink,System > Troubleshoot > Options > Other troubleshooters,ms-settings:troubleshoot,,,run troubleshooter|fix problems|diagnose issues|troubleshooter list,Opens the list of available troubleshooters for various system components.,Vision,,2026-06-22
system.troubleshoot.help-with-troubleshoot,Troubleshoot,,Related support,Help with Troubleshoot,Hyperlink,System > Troubleshoot > Related support > Help with Troubleshoot,ms-settings:troubleshoot,,,troubleshoot support|troubleshooting help|fix guide,Provides support articles and help links for troubleshooting common issues.,Vision,,2026-06-22
system.troubleshoot.quick-assistance-from-friend,Troubleshoot,,Related support,Quick assistance from a friend,Hyperlink,System > Troubleshoot > Related support > Quick assistance from a friend,ms-settings:troubleshoot,,,remote help|get help|quick assist|friend assistance,Allows getting remote assistance from a trusted friend or contact.,Vision,,2026-06-22
system.troubleshoot.audio-troubleshooter,Troubleshoot,Other troubleshooters,Most frequent,Audio,Button,System > Troubleshoot > Other troubleshooters > Most frequent > Audio,ms-settings:troubleshoot,,,sound fix|audio problems|no sound|speaker troubleshooter,Runs the troubleshooter to diagnose and fix audio playback issues.,Vision,,2026-06-22
system.troubleshoot.network-internet-troubleshooter,Troubleshoot,Other troubleshooters,Most frequent,Network and Internet,Button,System > Troubleshoot > Other troubleshooters > Most frequent > Network and Internet,ms-settings:troubleshoot,,,network fix|internet problems|wifi troubleshooter|connection issues,Runs the troubleshooter to diagnose and fix network and internet connectivity issues.,Vision,,2026-06-22
system.troubleshoot.printer-troubleshooter,Troubleshoot,Other troubleshooters,Most frequent,Printer,Button,System > Troubleshoot > Other troubleshooters > Most frequent > Printer,ms-settings:troubleshoot,,,printer fix|printing problems|print queue|printer offline,Runs the troubleshooter to diagnose and fix printer-related issues.,Vision,,2026-06-22
system.troubleshoot.windows-update-troubleshooter,Troubleshoot,Other troubleshooters,Most frequent,Windows Update,Button,System > Troubleshoot > Other troubleshooters > Most frequent > Windows Update,ms-settings:troubleshoot,,,update fix|windows update stuck|update errors|patch problems,Runs the troubleshooter to diagnose and fix Windows Update issues.,Vision,,2026-06-22
system.troubleshoot.bits-troubleshooter,Troubleshoot,Other troubleshooters,Other,Background Intelligent Transfer Service,Button,System > Troubleshoot > Other troubleshooters > Other > Background Intelligent Transfer Service,ms-settings:troubleshoot,,,bits fix|background transfer|download service|update download,Runs the troubleshooter to diagnose and fix Background Intelligent Transfer Service issues.,Vision,,2026-06-22
system.troubleshoot.bluetooth-troubleshooter,Troubleshoot,Other troubleshooters,Other,Bluetooth,Button,System > Troubleshoot > Other troubleshooters > Other > Bluetooth,ms-settings:troubleshoot,,,bluetooth fix|pairing problems|bt connection|bluetooth not working,Runs the troubleshooter to diagnose and fix Bluetooth connectivity and pairing issues.,Vision,,2026-06-22
system.troubleshoot.camera-troubleshooter,Troubleshoot,Other troubleshooters,Other,Camera,Button,System > Troubleshoot > Other troubleshooters > Other > Camera,ms-settings:troubleshoot,,,camera fix|webcam problems|camera not working|video call issues,Runs the troubleshooter to diagnose and fix camera and webcam issues.,Vision,,2026-06-22
system.troubleshoot.program-compatibility-troubleshooter,Troubleshoot,Other troubleshooters,Other,Program Compatibility Troubleshooter,Button,System > Troubleshoot > Other troubleshooters > Other > Program Compatibility Troubleshooter,ms-settings:troubleshoot,,,compatibility mode|old program fix|app compatibility|legacy software,Finds and fixes problems with running older programs on this version of Windows.,Vision,,2026-06-22
system.troubleshoot.video-playback-troubleshooter,Troubleshoot,Other troubleshooters,Other,Video Playback,Button,System > Troubleshoot > Other troubleshooters > Other > Video Playback,ms-settings:troubleshoot,,,video fix|playback problems|movie not playing|media issues,Runs the troubleshooter to diagnose and fix video playback issues.,Vision,,2026-06-22
system.troubleshoot.windows-media-player-troubleshooter,Troubleshoot,Other troubleshooters,Other,Windows Media Player,Button,System > Troubleshoot > Other troubleshooters > Other > Windows Media Player,ms-settings:troubleshoot,,,wmp fix|media player problems|wmp not working|player issues,Runs the troubleshooter to diagnose and fix Windows Media Player issues.,Vision,,2026-06-22
system.troubleshoot.privacy-resources,Troubleshoot,,Related support,Privacy resources,Hyperlink,System > Troubleshoot > Related support > Privacy resources,ms-settings:troubleshoot,,,privacy settings|privacy info|about privacy|data privacy,Provides information about privacy settings and how they affect your data.,Vision,,2026-06-22
system.clipboard.clipboard-history,Clipboard,,,Clipboard history,Toggle,System > Clipboard > Clipboard history,ms-settings:clipboard,,,clipboard log|copy history|win+v|paste history|clipboard items,Saves multiple items to your clipboard; press Windows logo key + V to view clipboard history and paste from it.,Vision,,2026-06-22
system.clipboard.share-across-devices,Clipboard,,,Share across devices,Button,System > Clipboard > Share across devices,ms-settings:clipboard,,,sync clipboard|cloud clipboard|cross device paste|clipboard sync,Pastes text on your other devices by syncing clipboard data across devices via Microsoft.,Vision,,2026-06-22
system.clipboard.clear-clipboard-data,Clipboard,,,Clear clipboard data,Button,System > Clipboard > Clear clipboard data,ms-settings:clipboard,,,delete clipboard|erase clipboard|clear history|wipe clipboard,Clears clipboard data; pinned items won't be removed on this device.,Vision,,2026-06-22
system.clipboard.privacy-statement,Clipboard,,,Privacy Statement,Hyperlink,System > Clipboard > Privacy Statement,ms-settings:clipboard,,,clipboard privacy|data protection|microsoft privacy|clipboard data policy,Opens the privacy statement to learn more about data protection and your privacy.,Vision,,2026-06-22
system.clipboard.get-help-with-clipboard,Clipboard,,Related links,Get help with clipboard,Hyperlink,System > Clipboard > Related links > Get help with clipboard,ms-settings:clipboard,,,clipboard support|clipboard help|clipboard troubleshooting,Opens help documentation for clipboard features and issues.,Vision,,2026-06-22
system.clipboard.transfer-content-between-devices,Clipboard,,Related links,How to seamlessly transfer content between your devices,Hyperlink,System > Clipboard > Related links > How to seamlessly transfer content between your devices,ms-settings:clipboard,,,cross device transfer|sync content|move clipboard between devices|device transfer,Opens a guide on how to seamlessly transfer clipboard content between your devices.,Vision,,2026-06-22
system.clipboard.help-with-clipboard,Clipboard,,Related support,Help with Clipboard,Hyperlink,System > Clipboard > Related support > Help with Clipboard,ms-settings:clipboard,,,clipboard support|clipboard assistance|clipboard troubleshooting,Provides support links and resources for clipboard-related issues.,Vision,,2026-06-22
bluetooth-devices.usb.connection-notifications,Bluetooth & devices,USB,,Connection notifications,Toggle,Bluetooth & devices > USB > Connection notifications,ms-settings:usb,,,usb connection alert|usb issue notification|usb device warning,Shows a notification if there are issues connecting a USB device.,Vision,,2026-06-22
bluetooth-devices.usb.slow-charging-notification,Bluetooth & devices,USB,,Show a notification if this PC is charging slowly over USB,Toggle,Bluetooth & devices > USB > Show a notification if this PC is charging slowly over USB,ms-settings:usb,,,slow charge alert|usb charging warning|charging speed notification,Shows a notification when the PC is charging slowly over USB.,Vision,,2026-06-22
bluetooth-devices.usb.usb-battery-saver,Bluetooth & devices,USB,,USB battery saver,Toggle,Bluetooth & devices > USB > USB battery saver,ms-settings:usb,,,usb power save|suspend usb|usb sleep|battery saver usb,Stops USB devices when the screen is off to help save battery.,Vision,,2026-06-22
bluetooth-devices.autoplay.use-autoplay,Bluetooth & devices,AutoPlay,,Use AutoPlay for all media and devices,Toggle,Bluetooth & devices > AutoPlay > Use AutoPlay for all media and devices,ms-settings:autoplay,,,autoplay enable|auto play|media autoplay|device autoplay,Enables or disables AutoPlay for all media and devices.,Vision,,2026-06-22
bluetooth-devices.autoplay.removable-drive,Bluetooth & devices,AutoPlay,Choose AutoPlay defaults,Removable drive,ComboBox,Bluetooth & devices > AutoPlay > Choose AutoPlay defaults > Removable drive,ms-settings:autoplay,,,usb drive autoplay|flash drive action|removable media default,Chooses the default action when a removable drive is connected.,Vision,,2026-06-22
bluetooth-devices.autoplay.memory-card,Bluetooth & devices,AutoPlay,Choose AutoPlay defaults,Memory card,ComboBox,Bluetooth & devices > AutoPlay > Choose AutoPlay defaults > Memory card,ms-settings:autoplay,,,sd card autoplay|memory card action|card default app,Chooses the default action when a memory card is inserted.,Vision,,2026-06-22
bluetooth-devices.pen-ink.handwriting-panel-settings,Bluetooth & devices,Pen & Windows Ink,Handwriting,Handwriting panel settings,Hyperlink,Bluetooth & devices > Pen & Windows Ink > Handwriting > Handwriting panel settings,ms-settings:pen,,,handwriting options|ink panel|write settings|pen input settings,Choose how you write and how your text appears when you use the handwriting panel.,Vision,,2026-06-22
bluetooth-devices.pen-ink.font,Bluetooth & devices,Pen & Windows Ink,Handwriting panel settings,Font,ComboBox,Bluetooth & devices > Pen & Windows Ink > Handwriting > Handwriting panel settings > Font,ms-settings:pen,,,handwriting font|ink font|pen text style|writing font,Selects the font used for handwriting recognition and display.,Vision,,2026-06-22
bluetooth-devices.pen-ink.write-with-fingertip,Bluetooth & devices,Pen & Windows Ink,Handwriting panel settings,Write with your fingertip,CheckBox,Bluetooth & devices > Pen & Windows Ink > Handwriting > Handwriting panel settings > Write with your fingertip,ms-settings:pen,,,finger writing|touch writing|fingertip ink|no pen writing,Allows writing with your fingertip instead of a pen.,Vision,,2026-06-22
bluetooth-devices.pen-ink.help-with-pen-ink,Bluetooth & devices,Pen & Windows Ink,Related support,Help with Pen & Windows Ink,Hyperlink,Bluetooth & devices > Pen & Windows Ink > Related support > Help with Pen & Windows Ink,ms-settings:pen,,,pen support|ink help|stylus assistance|windows ink help,Provides support links and resources for Pen and Windows Ink issues.,Vision,,2026-06-22
bluetooth-devices.touchpad.advanced-gestures.three-finger-tap,Bluetooth & devices,Touchpad,Configure three-finger gestures,Tap,ComboBox,Bluetooth & devices > Touchpad > Advanced gestures > Configure three-finger gestures > Tap,ms-settings:devices-touchpad,,,three finger tap|3 finger tap action|triple tap gesture,Configures the action performed when tapping with three fingers on the touchpad.,Vision,,2026-06-22
bluetooth-devices.touchpad.advanced-gestures.three-finger-swipe-up,Bluetooth & devices,Touchpad,Configure three-finger gestures,Swipe up,ComboBox,Bluetooth & devices > Touchpad > Advanced gestures > Configure three-finger gestures > Swipe up,ms-settings:devices-touchpad,,,three finger swipe up|3 finger up gesture|swipe up action,Configures the action performed when swiping up with three fingers.,Vision,,2026-06-22
bluetooth-devices.touchpad.advanced-gestures.three-finger-swipe-down,Bluetooth & devices,Touchpad,Configure three-finger gestures,Swipe down,ComboBox,Bluetooth & devices > Touchpad > Advanced gestures > Configure three-finger gestures > Swipe down,ms-settings:devices-touchpad,,,three finger swipe down|3 finger down gesture|swipe down action,Configures the action performed when swiping down with three fingers.,Vision,,2026-06-22
bluetooth-devices.touchpad.advanced-gestures.three-finger-swipe-left,Bluetooth & devices,Touchpad,Configure three-finger gestures,Swipe left,ComboBox,Bluetooth & devices > Touchpad > Advanced gestures > Configure three-finger gestures > Swipe left,ms-settings:devices-touchpad,,,three finger swipe left|3 finger left gesture|swipe left action,Configures the action performed when swiping left with three fingers.,Vision,,2026-06-22
bluetooth-devices.touchpad.advanced-gestures.three-finger-swipe-right,Bluetooth & devices,Touchpad,Configure three-finger gestures,Swipe right,ComboBox,Bluetooth & devices > Touchpad > Advanced gestures > Configure three-finger gestures > Swipe right,ms-settings:devices-touchpad,,,three finger swipe right|3 finger right gesture|swipe right action,Configures the action performed when swiping right with three fingers.,Vision,,2026-06-22
bluetooth-devices.touchpad.advanced-gestures.four-finger-tap,Bluetooth & devices,Touchpad,Configure four-finger gestures,Tap,ComboBox,Bluetooth & devices > Touchpad > Advanced gestures > Configure four-finger gestures > Tap,ms-settings:devices-touchpad,,,four finger tap|4 finger tap action|quad tap gesture,Configures the action performed when tapping with four fingers on the touchpad.,Vision,,2026-06-22
bluetooth-devices.touchpad.advanced-gestures.four-finger-swipe-up,Bluetooth & devices,Touchpad,Configure four-finger gestures,Swipe up,ComboBox,Bluetooth & devices > Touchpad > Advanced gestures > Configure four-finger gestures > Swipe up,ms-settings:devices-touchpad,,,four finger swipe up|4 finger up gesture|swipe up action,Configures the action performed when swiping up with four fingers.,Vision,,2026-06-22
bluetooth-devices.touchpad.advanced-gestures.four-finger-swipe-down,Bluetooth & devices,Touchpad,Configure four-finger gestures,Swipe down,ComboBox,Bluetooth & devices > Touchpad > Advanced gestures > Configure four-finger gestures > Swipe down,ms-settings:devices-touchpad,,,four finger swipe down|4 finger down gesture|swipe down action,Configures the action performed when swiping down with four fingers.,Vision,,2026-06-22
bluetooth-devices.touchpad.advanced-gestures.four-finger-swipe-left,Bluetooth & devices,Touchpad,Configure four-finger gestures,Swipe left,ComboBox,Bluetooth & devices > Touchpad > Advanced gestures > Configure four-finger gestures > Swipe left,ms-settings:devices-touchpad,,,four finger swipe left|4 finger left gesture|swipe left action,Configures the action performed when swiping left with four fingers.,Vision,,2026-06-22
bluetooth-devices.touchpad.advanced-gestures.four-finger-swipe-right,Bluetooth & devices,Touchpad,Configure four-finger gestures,Swipe right,ComboBox,Bluetooth & devices > Touchpad > Advanced gestures > Configure four-finger gestures > Swipe right,ms-settings:devices-touchpad,,,four finger swipe right|4 finger right gesture|swipe right action,Configures the action performed when swiping right with four fingers.,Vision,,2026-06-22
bluetooth-devices.touchpad.three-finger-gestures,Bluetooth & devices,Touchpad,,Three-finger gestures,Hyperlink,Bluetooth & devices > Touchpad > Three-finger gestures,ms-settings:devices-touchpad,,,3 finger gestures|triple finger|touchpad gestures,Expands settings for three-finger touchpad gestures.,Vision,,2026-06-22
bluetooth-devices.touchpad.three-finger-swipes,Bluetooth & devices,Touchpad,Three-finger gestures,Swipes,ComboBox,Bluetooth & devices > Touchpad > Three-finger gestures > Swipes,ms-settings:devices-touchpad,,,three finger swipes|3 finger swipe mode|swipe behavior,Configures the default swipe behavior for three-finger gestures.,Vision,,2026-06-22
bluetooth-devices.touchpad.three-finger-taps,Bluetooth & devices,Touchpad,Three-finger gestures,Taps,ComboBox,Bluetooth & devices > Touchpad > Three-finger gestures > Taps,ms-settings:devices-touchpad,,,three finger taps|3 finger tap mode|tap behavior,Configures the default tap behavior for three-finger gestures.,Vision,,2026-06-22
bluetooth-devices.touchpad.four-finger-gestures,Bluetooth & devices,Touchpad,,Four-finger gestures,Hyperlink,Bluetooth & devices > Touchpad > Four-finger gestures,ms-settings:devices-touchpad,,,4 finger gestures|quad finger|touchpad gestures,Expands settings for four-finger touchpad gestures.,Vision,,2026-06-22
bluetooth-devices.touchpad.four-finger-swipes,Bluetooth & devices,Touchpad,Four-finger gestures,Swipes,ComboBox,Bluetooth & devices > Touchpad > Four-finger gestures > Swipes,ms-settings:devices-touchpad,,,four finger swipes|4 finger swipe mode|swipe behavior,Configures the default swipe behavior for four-finger gestures.,Vision,,2026-06-22
bluetooth-devices.touchpad.four-finger-taps,Bluetooth & devices,Touchpad,Four-finger gestures,Taps,ComboBox,Bluetooth & devices > Touchpad > Four-finger gestures > Taps,ms-settings:devices-touchpad,,,four finger taps|4 finger tap mode|tap behavior,Configures the default tap behavior for four-finger gestures.,Vision,,2026-06-22
bluetooth-devices.touchpad.right-click-zone-size,Bluetooth & devices,Touchpad,,Right-click zone size,ComboBox,Bluetooth & devices > Touchpad > Right-click zone size,ms-settings:devices-touchpad,,,right click area|context click zone|click region size,Adjusts the size of the right-click zone on the touchpad.,Vision,,2026-06-22
bluetooth-devices.touchpad.scroll-zoom.drag-two-fingers,Bluetooth & devices,Touchpad,Scroll & zoom,Drag two fingers to scroll,CheckBox,Bluetooth & devices > Touchpad > Scroll & zoom > Drag two fingers to scroll,ms-settings:devices-touchpad,,,two finger scroll|scroll with two fingers|touchpad scroll,Enables scrolling by dragging two fingers on the touchpad.,Vision,,2026-06-22
bluetooth-devices.touchpad.scroll-zoom.single-finger-scrolling,Bluetooth & devices,Touchpad,Scroll & zoom,Single-finger scrolling,ComboBox,Bluetooth & devices > Touchpad > Scroll & zoom > Single-finger scrolling,ms-settings:devices-touchpad,,,one finger scroll|edge scroll|side scroll,Starts vertical scrolling with a single finger near the side of the touchpad.,Vision,,2026-06-22
bluetooth-devices.touchpad.scroll-zoom.automatic-scrolling-edge,Bluetooth & devices,Touchpad,Scroll & zoom,Automatic scrolling at edge,CheckBox,Bluetooth & devices > Touchpad > Scroll & zoom > Automatic scrolling at edge,ms-settings:devices-touchpad,,,auto scroll edge|continuous scroll|edge scrolling,Scrolling continues automatically when your fingers reach the edge of the touchpad.,Vision,,2026-06-22
bluetooth-devices.touchpad.scroll-zoom.accelerated-scrolling,Bluetooth & devices,Touchpad,Scroll & zoom,Accelerated scrolling,CheckBox,Bluetooth & devices > Touchpad > Scroll & zoom > Accelerated scrolling,ms-settings:devices-touchpad,,,scroll acceleration|fast scroll|speed up scroll,Scrolling speeds up when you repeat the gesture quickly.,Vision,,2026-06-22
bluetooth-devices.touchpad.scroll-zoom.scroll-speed,Bluetooth & devices,Touchpad,Scroll & zoom,Scroll speed,Slider,Bluetooth & devices > Touchpad > Scroll & zoom > Scroll speed,ms-settings:devices-touchpad,,,scroll sensitivity|scroll rate|scroll velocity,Adjusts the speed of scrolling on the touchpad.,Vision,,2026-06-22
